IDBase,IDExpa
168788,184174
168788,183919
168788,183921
168788,181631
168788,184183
168788,184189
168788,186306
168788,181632
168788,184182
168788,184184
168788,183918
168788,183915
168788,183917
168788,207116
168788,184195
168788,186305
168788,184187
168788,184180
168788,183920
218479,259988
118536,199000
118536,175470
118536,203707
118536,157941
118536,251308
118536,190868
118536,136392
118536,235028
118536,203708
118536,228670
118536,149696
118536,149243
118536,154552
118536,198997
128667,157952
128667,156042
127997,149191
35761,150638
35761,47156
109291,159797
109291,174258
109291,216812
109291,241773
109291,241774
109291,241783
109291,159796
109291,152917
109291,241776
109291,241772
109291,152911
109291,152919
109291,152916
109291,241778
109291,241780
109291,216801
109291,152921
109291,152923
109291,152912
109291,152915
109291,241775
109291,152918
109291,152913
109291,216805
109291,216806
109291,241781
109291,174314
109291,241779
109291,216803
109291,159788
109291,159789
109291,159790
109291,159798
109291,159794
109291,174372
109291,159791
109291,152914
109291,152922
109291,241777
109291,159793
109291,241782
109291,159792
109291,216808
109291,216811
109291,159795
109291,216802
109291,216810
109291,216800
109291,216799
109291,220197
109291,174126
109291,159799
109291,176316
109291,176318
109291,152925
109291,152924
109291,152928
16772,125611
