IDGame,IDCate
68182,1022
68182,1020
68182,1026
168788,1010
168788,1047
168788,1008
168788,1090
218479,1010
118536,1023
118536,1039
118536,1040
118536,1026
46255,1002
46255,1094
46255,1001
128667,1023
128667,1002
128667,1039
128667,1046
128667,1035
127997,1009
127997,1050
127997,1086
181345,1032
181345,1041
181345,1028
181345,1037
40760,1050
40760,1017
35761,1050
224821,1022
224821,1002
224821,1020
224821,1035
224821,1101
109291,1075
109291,1047
109291,1051
109291,1008
109291,1019
119391,1115
119391,1070
146910,1021
146910,1011
1117,1089
1117,1023
1117,1002
1117,1079
16772,1024
16772,1026
16772,2481
