IDGame,IDPubl
68182,8832
68182,3475
68182,6194
68182,17
68182,264
68182,9634
168788,21608
168788,2973
168788,27654
218479,38809
218479,29156
118536,16605
46255,8351
46255,538
128667,917
128667,29
128667,4304
128667,9074
128667,2973
128667,1391
128667,18852
127997,1015
127997,155
127997,3218
127997,39
127997,105
127997,4932
181345,9074
181345,5022
181345,491
181345,36981
181345,19047
181345,8439
181345,6214
181345,32140
181345,35035
181345,39
181345,36366
181345,1061
181345,9234
181345,4932
40760,9
40760,34
40760,3
35761,2861
35761,3
224821,5407
224821,35928
224821,31815
224821,37959
224821,15906
109291,17917
109291,2366
119391,9139
119391,39
119391,9499
119391,17786
146910,25740
146910,30958
1117,4
1117,157
1117,11
1117,858
1117,21625
1117,99
1117,34
1117,9234
16772,157
16772,504
